log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	val_auc	val_auprc	test_auc	test_auprc
convnetLenselinkFinalRun_25523.out	CNNModel	CHEMBL3510	RMSprop	0.0005	30	128	0	0.6	0	0	0.73	0.63	0.84	0.88	0.62	28	4	80	17	0.74	0.81	0.73	0.81	0.73
convnetLenselinkFinalRun_29125.out	CNNModel	CHEMBL3468	adam	0.0001	30	256	0	0.6	0	0	0.68	0.52	0.71	0.96	0.52	22	1	29	20	0.61	0.74	0.85	0.74	0.85
convnetLenselinkFinalRun_35442.out	CNNModel	CHEMBL2581	adam	0.0005	30	32	0	0.8	0	0	0.63	0.42	0.71	0.54	0.78	45	39	80	13	0.34	0.74	0.47	0.74	0.47
convnetLenselinkFinalRun_18289.out	ImageNetInceptionV2	CHEMBL2208	adam	0.0001	15	0	0	0.6	0	0	0.95	0.9	0.95	0.95	0.95	19	1	18	1	0.98	0.95	0.95	0.95	0.95
convnetLenselinkFinalRun_17797.out	CNNModel	CHEMBL318	adam	0.0001	15	256	0	0.6	0	0	0.82	0.56	0.78	0.76	0.89	32	10	18	4	0.31	0.77	0.78	0.77	0.78
convnetLenselinkFinalRun_19634.out	ImageNetInceptionV2	CHEMBL2695	adam	0.0001	15	0	0	0.8	0	0	0.46	0.36	0.77	0.34	0.7	16	31	109	7	0.75	0.76	0.37	0.76	0.37
convnetLenselinkFinalRun_32067.out	ImageNetInceptionV2	CHEMBL3815	adam	0.001	30	0	0	0.6	0	0	0.95	0.91	0.95	0.91	1	10	1	11	0	0.11	0.97	0.96	0.97	0.96
convnetLenselinkFinalRun_30495.out	CNNModel	CHEMBL301	adam	0.001	30	32	0	0.6	0	0	0.58	0.34	0.63	0.83	0.44	24	5	35	30	0.87	0.61	0.66	0.61	0.66
convnetLenselinkFinalRun_2889.out	ImageNetInceptionV2	CHEMBL225	RMSprop	0.001	5	0	0	0.6	0	0	0.54	0.45	0.69	0.94	0.38	45	3	127	74	0.64	0.75	0.78	0.75	0.78
convnetLenselinkFinalRun_10758.out	ImageNetInceptionV2	CHEMBL4354	adam	0.0005	5	0	0	0.8	0	0	0.94	0.64	0.89	0.89	0.99	66	8	9	1	0.93	0.84	0.95	0.84	0.95
convnetLenselinkFinalRun_34084.out	ImageNetInceptionV2	CHEMBL2326	adam	0.001	30	0	0	0.8	0	0	0.82	0.62	0.81	0.77	0.87	82	25	73	12	0.23	0.83	0.74	0.83	0.74
convnetLenselinkFinalRun_25062.out	ImageNetInceptionV2	CHEMBL338	adam	0.0005	30	0	0	0.8	0	0	0.55	0.39	0.76	0.52	0.58	14	13	59	10	0.02	0.7	0.43	0.7	0.43
convnetLenselinkFinalRun_34793.out	CNNModel	CHEMBL3471	adam	0.0005	30	256	0	0.6	0	0	0.47	0.33	0.71	0.7	0.36	16	7	73	29	0.43	0.67	0.51	0.67	0.51
convnetLenselinkFinalRun_22457.out	CNNModel	CHEMBL2564	adam	0.0005	15	256	0	0.6	0	0	0.78	0.28	0.67	0.66	0.97	131	68	17	4	0.15	0.66	0.73	0.66	0.73
convnetLenselinkFinalRun_31211.out	ImageNetInceptionV2	CHEMBL2954	RMSprop	0.0005	30	0	0	0.6	0	0	0.92	0.51	0.86	0.89	0.95	73	9	9	4	0.83	0.81	0.93	0.81	0.93
convnetLenselinkFinalRun_14309.out	ImageNetInceptionV2	CHEMBL3229	adam	0.0005	15	0	0	0.6	0	0	0.91	0.3	0.84	0.89	0.92	209	25	13	17	0.23	0.59	0.88	0.59	0.88
convnetLenselinkFinalRun_27990.out	ImageNetInceptionV2	CHEMBL3486	adam	0.0005	30	0	0	0.8	0	0	0.59	0.57	0.82	1	0.42	5	0	26	7	0.92	0.77	0.73	0.77	0.73
convnetLenselinkFinalRun_23140.out	ImageNetInceptionV2	CHEMBL4414	adam	0.001	15	0	0	0.8	0	0	0.84	0.63	0.82	0.9	0.79	19	2	12	5	1	0.82	0.89	0.82	0.89
convnetLenselinkFinalRun_21897.out	ImageNetInceptionV2	CHEMBL2789	RMSprop	0.001	15	0	0	0.6	0	0	0.62	0.38	0.68	0.78	0.52	14	4	22	13	0.5	0.71	0.76	0.71	0.76
convnetLenselinkFinalRun_34359.out	CNNModel	CHEMBL2492	adam	0.001	30	256	0	0.6	0	0	0.48	0.37	0.79	0.58	0.41	7	5	50	10	0.98	0.72	0.53	0.72	0.53
convnetLenselinkFinalRun_29665.out	ImageNetInceptionV2	CHEMBL2409	adam	0.0001	30	0	0	0.6	0	0	0.89	0.5	0.82	0.85	0.93	236	41	46	19	0.88	0.72	0.81	0.72	0.81
convnetLenselinkFinalRun_21423.out	CNNModel	CHEMBL4235	adam	0.001	15	32	0	0.6	0	0	0.73	0.28	0.65	0.84	0.65	154	29	58	84	0.81	0.66	0.84	0.66	0.84
convnetLenselinkFinalRun_28274.out	ImageNetInceptionV2	CHEMBL3048	adam	0.0001	30	0	0	0.8	0	0	0.76	0.42	0.7	0.9	0.66	37	4	17	19	0.72	0.67	0.85	0.67	0.85
convnetLenselinkFinalRun_12152.out	ImageNetInceptionV2	CHEMBL4616	RMSprop	0.0001	5	0	0	0.8	0	0	0.9	0.35	0.83	0.91	0.88	52	5	5	7	0.46	0.77	0.95	0.77	0.95
convnetLenselinkFinalRun_35988.out	CNNModel	CHEMBL339	RMSprop	0.0005	30	128	0	0.8	0	0	0.67	0.25	0.63	0.64	0.72	56	32	35	22	0.91	0.56	0.56	0.56	0.56
convnetLenselinkFinalRun_23962.out	ImageNetInceptionV2	CHEMBL312	RMSprop	0.001	15	0	0	0.8	0	0	0.45	0.31	0.76	0.42	0.5	5	7	34	5	0.91	0.68	0.47	0.68	0.47
convnetLenselinkFinalRun_28109.out	CNNModel	CHEMBL3912	adam	0.0005	30	128	0	0.6	0	0	0.82	0.62	0.8	0.75	0.91	42	14	31	4	0.37	0.79	0.71	0.79	0.71
convnetLenselinkFinalRun_30587.out	ImageNetInceptionV2	CHEMBL3242	RMSprop	0.0005	30	0	0	0.6	0	0	0.86	0.49	0.79	0.78	0.95	442	123	99	21	0.99	0.76	0.84	0.76	0.84
convnetLenselinkFinalRun_18870.out	ImageNetInceptionV2	CHEMBL4429	adam	0.0005	15	0	0	0.8	0	0	0.8	0.74	0.87	1	0.67	8	0	19	4	0.95	0.76	0.81	0.76	0.81
convnetLenselinkFinalRun_15940.out	ImageNetInceptionV2	CHEMBL4153	adam	0.001	15	0	0	0.8	0	0	0.78	0.45	0.73	0.74	0.83	119	41	63	25	0.2	0.73	0.74	0.73	0.74
convnetLenselinkFinalRun_23431.out	ImageNetInceptionV2	CHEMBL4315	RMSprop	0.0001	15	0	0	0.6	0	0	0.86	0.18	0.76	0.75	1	141	46	2	0	0.52	0.52	0.76	0.52	0.76
convnetLenselinkFinalRun_19744.out	CNNModel	CHEMBL5373	adam	0.001	15	32	0	0.8	0	0	0.88	0.6	0.82	0.79	1	48	13	11	0	0.47	0.72	0.83	0.72	0.83
convnetLenselinkFinalRun_33325.out	CNNModel	CHEMBL279	adam	0.0001	30	32	0	0.6	0	0	0.84	0.36	0.75	0.77	0.92	263	80	47	22	0.07	0.71	0.82	0.71	0.82
convnetLenselinkFinalRun_33369.out	ImageNetInceptionV2	CHEMBL4822	RMSprop	0.001	30	0	0	0.6	0	0	0.73	0.37	0.69	0.68	0.79	192	90	115	50	0.97	0.71	0.73	0.71	0.73
convnetLenselinkFinalRun_5915.out	ImageNetInceptionV2	CHEMBL5145	RMSprop	0.0005	5	0	0	0.6	0	0	0.79	0.39	0.69	0.66	1	19	10	3	0	0.41	0.69	0.75	0.69	0.75
convnetLenselinkFinalRun_24492.out	ImageNetInceptionV2	CHEMBL5763	RMSprop	0.0005	30	0	0	0.8	0	0	0.65	0.59	0.88	0.59	0.74	68	48	455	24	0.99	0.86	0.57	0.86	0.57
convnetLenselinkFinalRun_31535.out	CNNModel	CHEMBL3979	RMSprop	0.0005	30	256	0	0.6	0	0	0.93	0.9	0.95	0.88	1	14	2	24	0	0.54	0.99	0.98	0.99	0.98
convnetLenselinkFinalRun_29493.out	CNNModel	CHEMBL1862	RMSprop	0.001	30	32	0	0.6	0	0	0.56	0.49	0.68	1	0.39	24	0	56	37	0.68	0.67	0.77	0.67	0.77
convnetLenselinkFinalRun_12340.out	ImageNetInceptionV2	CHEMBL322	adam	0.001	15	0	0	0.8	0	0	0.74	0.39	0.63	0.58	1	53	38	13	0	0.97	0.67	0.64	0.67	0.64
convnetLenselinkFinalRun_24953.out	CNNModel	CHEMBL5071	adam	0.0005	30	256	0	0.6	0	0	0.86	0.31	0.77	0.78	0.97	176	51	14	5	0.05	0.56	0.76	0.56	0.76
convnetLenselinkFinalRun_18856.out	CNNModel	CHEMBL3571	adam	0.001	15	256	0	0.8	0	0	0.7	0.38	0.65	0.57	0.9	54	40	33	6	0.11	0.66	0.57	0.66	0.57
convnetLenselinkFinalRun_34947.out	ImageNetInceptionV2	CHEMBL5658	adam	0.001	30	0	0	0.6	0	0	0.61	0.28	0.57	0.46	0.88	73	85	53	10	0.2	0.61	0.42	0.61	0.42
convnetLenselinkFinalRun_22467.out	ImageNetInceptionV2	CHEMBL3880	adam	0.001	15	0	0	0.6	0	0	0.93	0.36	0.87	0.87	0.99	106	16	4	1	0.03	0.63	0.91	0.63	0.91
convnetLenselinkFinalRun_29569.out	ImageNetInceptionV2	CHEMBL213	adam	0.0001	30	0	0	0.6	0	0	0.79	0.47	0.74	0.8	0.78	45	11	25	13	0.01	0.7	0.71	0.7	0.71
convnetLenselinkFinalRun_17638.out	CNNModel	CHEMBL325	RMSprop	0.001	15	32	0	0.8	0	0	0.41	0.32	0.66	0.81	0.28	30	7	137	78	0.87	0.66	0.63	0.66	0.63
convnetLenselinkFinalRun_2025.out	ImageNetInceptionV2	CHEMBL340	RMSprop	0.001	5	0	0	0.6	0	0	0.66	0.62	0.92	0.73	0.6	33	12	354	22	0.68	0.83	0.62	0.83	0.62
convnetLenselinkFinalRun_17195.out	ImageNetInceptionV2	CHEMBL4198	RMSprop	0.0005	15	0	0	0.6	0	0	0.59	0.44	0.64	0.42	0.98	39	53	55	1	0.49	0.72	0.39	0.72	0.39
convnetLenselinkFinalRun_32642.out	ImageNetInceptionV2	CHEMBL4306	adam	0.0001	30	0	0	0.8	0	0	0.64	0.52	0.81	0.74	0.56	28	10	106	22	0.91	0.8	0.63	0.8	0.63
convnetLenselinkFinalRun_29142.out	ImageNetInceptionV2	CHEMBL1974	adam	0.0005	30	0	0	0.8	0	0	0.88	0.52	0.82	0.91	0.85	82	8	19	14	0.01	0.75	0.9	0.75	0.9
convnetLenselinkFinalRun_35548.out	CNNModel	CHEMBL302	adam	0.001	30	128	0	0.8	0	0	0.81	0.67	0.83	0.72	0.91	31	12	42	3	0.55	0.89	0.85	0.89	0.85
convnetLenselinkFinalRun_30679.out	ImageNetInceptionV2	CHEMBL5424	RMSprop	0.0001	30	0	0	0.6	0	0	0.76	0.41	0.71	0.71	0.82	62	25	35	14	0.44	0.7	0.69	0.7	0.69
convnetLenselinkFinalRun_17578.out	ImageNetInceptionV2	CHEMBL332	RMSprop	0.001	15	0	0	0.8	0	0	0.78	0.77	0.97	0.88	0.7	7	1	121	3	1	0.91	0.79	0.91	0.79
convnetLenselinkFinalRun_928.out	CNNModel	CHEMBL224	adam	0.001	5	32	0	0.8	0	0	0.73	0.49	0.72	0.89	0.62	107	13	96	66	0.73	0.76	0.85	0.76	0.85
convnetLenselinkFinalRun_12052.out	ImageNetInceptionV2	CHEMBL4439	adam	0.001	5	0	0	0.8	0	0	0.92	0.48	0.86	0.86	0.99	95	15	7	1	0.74	0.69	0.9	0.69	0.9
convnetLenselinkFinalRun_1325.out	CNNModel	CHEMBL3437	adam	0.0005	5	128	0	0.6	0	0	0.61	0.38	0.61	0.46	0.92	11	13	11	1	0.61	0.78	0.58	0.78	0.58
convnetLenselinkFinalRun_25841.out	CNNModel	CHEMBL1937	adam	0.0005	30	32	0	0.6	0	0	0.34	0.29	0.67	0.8	0.22	12	3	81	43	0.47	0.56	0.54	0.56	0.54
convnetLenselinkFinalRun_20992.out	CNNModel	CHEMBL218	adam	0.001	15	32	0	0.8	0	0	0.66	0.48	0.74	0.78	0.58	87	25	172	64	0.62	0.72	0.73	0.72	0.73
convnetLenselinkFinalRun_19209.out	ImageNetInceptionV2	CHEMBL205	RMSprop	0.001	15	0	0	0.6	0	0	0.84	0.34	0.75	0.76	0.94	525	170	79	34	0.97	0.7	0.81	0.7	0.81
convnetLenselinkFinalRun_25634.out	ImageNetInceptionV2	CHEMBL1867	adam	0.0001	30	0	0	0.8	0	0	0.57	0.57	0.82	1	0.4	6	0	36	9	0.93	0.61	0.62	0.61	0.62
convnetLenselinkFinalRun_21819.out	CNNModel	CHEMBL4398	adam	0.001	15	128	0	0.6	0	0	0.75	0.7	0.86	1	0.6	6	0	19	4	0.38	0.92	0.91	0.92	0.91
convnetLenselinkFinalRun_35117.out	CNNModel	CHEMBL217	adam	0.0005	30	128	0	0.6	0	0	0.71	0.33	0.65	0.85	0.61	208	38	114	135	0.4	0.68	0.82	0.68	0.82
convnetLenselinkFinalRun_30871.out	ImageNetInceptionV2	CHEMBL3772	RMSprop	0.0001	30	0	0	0.6	0	0	0.27	0.35	0.82	1	0.15	2	0	47	11	0.69	0.54	0.42	0.54	0.42
convnetLenselinkFinalRun_15654.out	ImageNetInceptionV2	CHEMBL2034	adam	0.0005	15	0	0	0.8	0	0	0.93	0.42	0.87	0.86	1	195	31	8	0	0.99	0.67	0.91	0.67	0.91
convnetLenselinkFinalRun_28950.out	ImageNetInceptionV2	CHEMBL1951	adam	0.0005	30	0	0	0.8	0	0	0.38	0.32	0.86	0.45	0.33	10	12	195	20	0.79	0.55	0.27	0.55	0.27
convnetLenselinkFinalRun_2553.out	ImageNetInceptionV2	CHEMBL220	RMSprop	0.001	5	0	0	0.6	0	0	0.41	0.38	0.8	0.76	0.28	26	8	275	68	0.7	0.67	0.51	0.67	0.51
convnetLenselinkFinalRun_12875.out	ImageNetInceptionV2	CHEMBL4191	RMSprop	0.0005	15	0	0	0.6	0	0	0.87	0.61	0.81	0.78	1	38	11	10	0	0.52	0.57	0.65	0.57	0.65
convnetLenselinkFinalRun_26106.out	CNNModel	CHEMBL5555	adam	0.0005	30	256	0	0.8	0	0	0.74	0.3	0.66	0.86	0.65	55	9	20	30	0.58	0.63	0.82	0.63	0.82
convnetLenselinkFinalRun_11236.out	ImageNetInceptionV2	CHEMBL3602	adam	0.001	5	0	0	0.8	0	0	0.92	0.64	0.87	0.91	0.93	62	6	14	5	0.62	0.82	0.92	0.82	0.92
convnetLenselinkFinalRun_16503.out	CNNModel	CHEMBL2276	adam	0.001	15	256	0	0.6	0	0	0.81	0.33	0.7	0.68	0.99	77	36	9	1	0.03	0.57	0.68	0.57	0.68
convnetLenselinkFinalRun_24845.out	CNNModel	CHEMBL1822	adam	0.0005	30	128	0	0.6	0	0	0.82	0.64	0.82	0.82	0.82	18	4	18	4	0.49	0.82	0.83	0.82	0.83
convnetLenselinkFinalRun_1397.out	ImageNetInceptionV2	CHEMBL4625	adam	0.0005	5	0	0	0.6	0	0	0.87	0.68	0.84	0.81	0.94	72	17	43	5	0.82	0.83	0.79	0.83	0.79
convnetLenselinkFinalRun_14124.out	ImageNetInceptionV2	CHEMBL242	RMSprop	0.0005	15	0	0	0.8	0	0	0.76	0.49	0.74	0.71	0.8	37	15	33	9	0.12	0.77	0.74	0.77	0.74
convnetLenselinkFinalRun_21657.out	ImageNetInceptionV2	CHEMBL233	RMSprop	0.001	15	0	0	0.6	0	0	0.58	0.33	0.53	0.97	0.42	77	2	49	108	0.6	0.68	0.9	0.68	0.9
convnetLenselinkFinalRun_33132.out	ImageNetInceptionV2	CHEMBL3892	RMSprop	0.0005	30	0	0	0.8	0	0	0.09	0.13	0.7	0.75	0.05	3	1	136	60	1	0.51	0.34	0.51	0.34
convnetLenselinkFinalRun_14021.out	ImageNetInceptionV2	CHEMBL230	adam	0.0005	15	0	0	0.6	0	0	0.36	0.29	0.84	0.5	0.29	12	12	210	30	0.01	0.7	0.38	0.7	0.38
convnetLenselinkFinalRun_20497.out	ImageNetInceptionV2	CHEMBL4792	adam	0.0001	15	0	0	0.6	0	0	0.91	0.36	0.85	0.94	0.88	166	10	12	22	0.03	0.72	0.93	0.72	0.93
convnetLenselinkFinalRun_15628.out	CNNModel	CHEMBL4296	adam	0.001	15	128	0	0.8	0	0	0.69	0.27	0.59	0.55	0.96	491	409	121	23	0.36	0.62	0.58	0.62	0.58
convnetLenselinkFinalRun_19497.out	ImageNetInceptionV2	CHEMBL3351	RMSprop	0.001	15	0	0	0.6	0	0	0.96	0.9	0.95	0.93	1	25	2	15	0	0.68	0.92	0.87	0.92	0.87
convnetLenselinkFinalRun_31403.out	ImageNetInceptionV2	CHEMBL1957	RMSprop	0.0005	30	0	0	0.6	0	0	0.82	0.58	0.79	0.89	0.76	16	2	10	5	0.91	0.81	0.89	0.81	0.89
convnetLenselinkFinalRun_16231.out	ImageNetInceptionV2	CHEMBL1811	RMSprop	0.0001	15	0	0	0.6	0	0	0.89	0.5	0.82	0.81	0.98	39	9	6	1	0.7	0.55	0.7	0.55	0.7
convnetLenselinkFinalRun_17125.out	CNNModel	CHEMBL1947	adam	0.0001	15	256	0	0.6	0	0	0.79	0.51	0.72	0.65	1	35	19	13	0	0.44	0.58	0.56	0.58	0.56
convnetLenselinkFinalRun_30103.out	ImageNetInceptionV2	CHEMBL309	RMSprop	0.0001	30	0	0	0.6	0	0	0.97	0.93	0.97	0.95	1	19	1	11	0	0.97	0.98	0.99	0.98	0.99
convnetLenselinkFinalRun_5774.out	CNNModel	CHEMBL3199	adam	0.0001	5	32	0	0.8	0	0	0.36	0.32	0.64	0.89	0.23	16	2	85	54	0.61	0.77	0.76	0.77	0.76
convnetLenselinkFinalRun_27246.out	CNNModel	CHEMBL3522	adam	0.0005	30	128	0	0.8	0	0	0.65	0.45	0.72	0.56	0.77	10	8	19	3	0.75	0.74	0.55	0.74	0.55
convnetLenselinkFinalRun_21604.out	ImageNetInceptionV2	CHEMBL2039	adam	0.001	15	0	0	0.8	0	0	0.47	0.41	0.7	0.9	0.32	52	6	229	112	0.82	0.7	0.67	0.7	0.67
convnetLenselinkFinalRun_29916.out	ImageNetInceptionV2	CHEMBL268	RMSprop	0.0005	30	0	0	0.8	0	0	0.55	0.55	0.82	1	0.38	6	0	40	10	0.51	0.54	0.57	0.54	0.57
convnetLenselinkFinalRun_36293.out	ImageNetInceptionV2	CHEMBL4102	adam	0.0005	30	0	0	0.6	0	0	0.6	0.54	0.84	0.82	0.47	9	2	55	10	0.47	0.73	0.59	0.73	0.59
convnetLenselinkFinalRun_4807.out	ImageNetInceptionV2	CHEMBL313	RMSprop	0.0001	5	0	0	0.6	0	0	0.84	0.51	0.78	0.76	0.95	110	35	33	6	0.99	0.8	0.86	0.8	0.86
convnetLenselinkFinalRun_35290.out	ImageNetInceptionV2	CHEMBL1865	RMSprop	0.001	30	0	0	0.8	0	0	0.72	0.24	0.6	0.57	0.96	138	102	25	6	0.74	0.56	0.56	0.56	0.56
convnetLenselinkFinalRun_1229.out	CNNModel	CHEMBL2434	adam	0.0005	5	128	0	0.6	0	0	0.48	0.29	0.55	0.33	0.88	15	31	25	2	0.57	0.71	0.37	0.71	0.37
convnetLenselinkFinalRun_27130.out	ImageNetInceptionV2	CHEMBL2147	RMSprop	0.001	30	0	0	0.8	0	0	0.82	0.37	0.74	0.74	0.93	87	30	18	7	1	0.65	0.75	0.65	0.75
convnetLenselinkFinalRun_24250.out	ImageNetInceptionV2	CHEMBL3820	RMSprop	0.001	15	0	0	0.8	0	0	0.74	0.41	0.69	0.64	0.88	98	55	55	13	0.57	0.69	0.66	0.69	0.66
convnetLenselinkFinalRun_2717.out	CNNModel	CHEMBL253	adam	0.0005	5	128	0	0.6	0	0	0.78	0.26	0.69	0.73	0.83	315	115	80	65	0.76	0.6	0.7	0.6	0.7
convnetLenselinkFinalRun_36391.out	ImageNetInceptionV2	CHEMBL236	RMSprop	0.0001	30	0	0	0.6	0	0	0.7	0.36	0.65	0.89	0.58	68	8	37	49	0.05	0.72	0.85	0.72	0.85
convnetLenselinkFinalRun_26781.out	CNNModel	CHEMBL280	RMSprop	0.001	30	256	0	0.6	0	0	0.94	0.36	0.88	0.91	0.96	110	11	5	4	0.01	0.65	0.92	0.65	0.92
convnetLenselinkFinalRun_13784.out	ImageNetInceptionV2	CHEMBL246	RMSprop	0.0001	15	0	0	0.8	0	0	0.97	0.89	0.95	0.98	0.96	44	1	17	2	0.4	0.92	0.94	0.92	0.94
convnetLenselinkFinalRun_28697.out	CNNModel	CHEMBL1906	adam	0.0005	30	256	0	0.6	0	0	0.9	0.55	0.84	0.84	0.97	37	7	6	1	0.37	0.66	0.82	0.66	0.82
convnetLenselinkFinalRun_19926.out	ImageNetInceptionV2	CHEMBL255	adam	0.0005	15	0	0	0.8	0	0	0.47	0.44	0.75	0.92	0.31	11	1	63	24	0.6	0.62	0.6	0.62	0.6
convnetLenselinkFinalRun_18386.out	ImageNetInceptionV2	CHEMBL3759	adam	0.0001	15	0	0	0.8	0	0	0.72	0.33	0.64	0.59	0.91	67	46	27	7	0.1	0.66	0.66	0.66	0.66
convnetLenselinkFinalRun_13059.out	ImageNetInceptionV2	CHEMBL5508	adam	0.001	15	0	0	0.6	0	0	0.56	0.4	0.74	0.48	0.69	11	12	38	5	0.05	0.72	0.39	0.72	0.39
convnetLenselinkFinalRun_31050.out	CNNModel	CHEMBL299	adam	0.0005	30	256	0	0.8	0	0	0.95	0.92	0.96	0.91	1	10	1	13	0	0.25	0.97	0.96	0.97	0.96
convnetLenselinkFinalRun_26415.out	CNNModel	CHEMBL269	adam	0.001	30	32	0	0.6	0	0	0.94	0.47	0.9	0.89	1	75	9	3	0	0.01	0.56	0.87	0.56	0.87
convnetLenselinkFinalRun_35357.out	CNNModel	CHEMBL6007	adam	0.0005	30	128	0	0.6	0	0	0.82	0.74	0.89	0.76	0.89	16	5	38	2	0.12	0.88	0.67	0.88	0.67
convnetLenselinkFinalRun_31385.out	CNNModel	CHEMBL211	adam	0.0005	30	256	0	0.6	0	0	0.69	0.52	0.78	0.71	0.68	17	7	35	8	0.88	0.73	0.64	0.73	0.64
convnetLenselinkFinalRun_25025.out	CNNModel	CHEMBL4979	adam	0.0005	30	32	0	0.6	0	0	0.56	0.38	0.74	0.62	0.5	10	6	36	10	0.44	0.63	0.44	0.63	0.44
convnetLenselinkFinalRun_34606.out	CNNModel	CHEMBL4333	RMSprop	0.001	30	256	0	0.8	0	0	0.94	0.51	0.88	0.88	1	209	29	12	0	0.86	0.63	0.88	0.63	0.88
convnetLenselinkFinalRun_16127.out	CNNModel	CHEMBL261	RMSprop	0.0005	15	256	0	0.6	0	0	0.66	0.41	0.71	0.68	0.65	201	96	314	110	0.77	0.73	0.62	0.73	0.62
convnetLenselinkFinalRun_33037.out	CNNModel	CHEMBL284	adam	0.0001	30	32	0	0.6	0	0	0.92	0.33	0.85	0.87	0.97	205	31	10	6	0.25	0.65	0.88	0.65	0.88
convnetLenselinkFinalRun_26874.out	CNNModel	CHEMBL5263	adam	0.0005	30	256	0	0.8	0	0	0.76	0.38	0.71	0.76	0.76	16	5	8	5	0.63	0.66	0.74	0.66	0.74
convnetLenselinkFinalRun_24878.out	CNNModel	CHEMBL4681	adam	0.0001	30	32	0	0.8	0	0	0.54	0.27	0.6	0.42	0.76	31	42	47	10	0.52	0.59	0.36	0.59	0.36
convnetLenselinkFinalRun_13977.out	ImageNetInceptionV2	CHEMBL4523	RMSprop	0.001	15	0	0	0.6	0	0	0.81	0.48	0.76	0.77	0.87	46	14	20	7	1	0.79	0.82	0.79	0.82
convnetLenselinkFinalRun_20777.out	CNNModel	CHEMBL2035	adam	0.0005	15	256	0	0.6	0	0	0.37	0.38	0.81	0.83	0.24	5	1	66	16	0.54	0.41	0.37	0.41	0.37
convnetLenselinkFinalRun_27288.out	CNNModel	CHEMBL2056	RMSprop	0.0005	30	32	0	0.8	0	0	0.79	0.52	0.74	0.68	0.94	48	23	26	3	0.2	0.77	0.73	0.77	0.73
convnetLenselinkFinalRun_8450.out	ImageNetInceptionV2	CHEMBL3649	adam	0.0001	5	0	0	0.8	0	0	0.92	0.82	0.91	0.96	0.89	24	1	17	3	0.56	0.94	0.96	0.94	0.96
convnetLenselinkFinalRun_35610.out	CNNModel	CHEMBL2959	adam	0.0005	30	256	0	0.8	0	0	0.89	0.32	0.81	0.9	0.88	64	7	6	9	0.5	0.59	0.86	0.59	0.86
convnetLenselinkFinalRun_31686.out	ImageNetInceptionV2	CHEMBL5113	adam	0.0005	30	0	0	0.8	0	0	0.62	0.29	0.63	0.72	0.55	63	24	69	52	0.61	0.64	0.66	0.64	0.66
convnetLenselinkFinalRun_8402.out	ImageNetInceptionV2	CHEMBL4303	adam	0.0001	5	0	0	0.8	0	0	0.71	0.51	0.73	0.61	0.87	40	26	48	6	0.03	0.82	0.74	0.82	0.74
convnetLenselinkFinalRun_35883.out	CNNModel	CHEMBL3717	adam	0.001	30	128	0	0.6	0	0	0.82	0.34	0.74	0.89	0.77	254	32	53	78	0.4	0.67	0.87	0.67	0.87
convnetLenselinkFinalRun_30297.out	ImageNetInceptionV2	CHEMBL2973	RMSprop	0.001	30	0	0	0.6	0	0	0.93	0.34	0.87	0.87	0.98	131	19	5	2	0.09	0.56	0.84	0.56	0.84
convnetLenselinkFinalRun_34423.out	ImageNetInceptionV2	CHEMBL1075189	RMSprop	0.0001	30	0	0	0.6	0	0	0.67	0.52	0.79	0.75	0.6	9	3	24	6	0.57	0.75	0.72	0.75	0.72
convnetLenselinkFinalRun_33768.out	CNNModel	CHEMBL2337	RMSprop	0.0005	30	32	0	0.8	0	0	0.39	0.29	0.52	0.93	0.25	13	1	31	39	0.43	0.6	0.76	0.6	0.76
convnetLenselinkFinalRun_14648.out	ImageNetInceptionV2	CHEMBL3371	RMSprop	0.0001	15	0	0	0.8	0	0	0.32	0.25	0.48	0.94	0.19	33	2	95	137	0.02	0.61	0.76	0.61	0.76
convnetLenselinkFinalRun_35507.out	CNNModel	CHEMBL4078	RMSprop	0.0005	30	128	0	0.6	0	0	0.66	0.57	0.84	0.76	0.58	120	38	530	86	0.68	0.78	0.66	0.78	0.66
convnetLenselinkFinalRun_20836.out	ImageNetInceptionV2	CHEMBL4588	adam	0.001	15	0	0	0.8	0	0	0.73	0.38	0.67	0.88	0.62	28	4	15	17	0.41	0.69	0.86	0.69	0.86
convnetLenselinkFinalRun_16660.out	ImageNetInceptionV2	CHEMBL3227	adam	0.001	15	0	0	0.8	0	0	0.67	0.26	0.62	0.79	0.58	118	31	71	86	0.79	0.63	0.76	0.63	0.76
convnetLenselinkFinalRun_35913.out	ImageNetInceptionV2	CHEMBL1829	RMSprop	0.001	30	0	0	0.6	0	0	0.69	0.36	0.66	0.59	0.83	44	31	33	9	0.23	0.68	0.6	0.68	0.6
convnetLenselinkFinalRun_33580.out	CNNModel	CHEMBL216	adam	0.001	30	128	0	0.8	0	0	0.58	0.5	0.79	0.83	0.44	15	3	69	19	0.99	0.75	0.67	0.75	0.67
