UniProtAcc	EntryName	GeneName	Organism	Target_ChEMBLid
P51686	CCR9	CCR9	HUMAN	CHEMBL5815
P51812	KS6A3	RPS6KA3	HUMAN	CHEMBL2345
P52333	JAK3	JAK3	HUMAN	CHEMBL2148
P53350	PLK1	PLK1	HUMAN	CHEMBL3024
P53582	MAP11	METAP1	HUMAN	CHEMBL2474
P53634	CATC	CTSC	HUMAN	CHEMBL2252
P53667	LIMK1	LIMK1	HUMAN	CHEMBL3836
P53671	LIMK2	LIMK2	HUMAN	CHEMBL5932
P53779	MK10	MAPK10	HUMAN	CHEMBL2637
P54760	EPHB4	EPHB4	HUMAN	CHEMBL5147
P55055	NR1H2	NR1H2	HUMAN	CHEMBL4093
P55072	TERA	VCP	HUMAN	CHEMBL1075145
P55210	CASP7	CASP7	HUMAN	CHEMBL3468
P55212	CASP6	CASP6	HUMAN	CHEMBL3308
P56450	MC4R	MC4R	MOUSE	CHEMBL3719
P56481	GASR	CCKBR	MOUSE	CHEMBL2854
P56524	HDAC4	HDAC4	HUMAN	CHEMBL3524
P56560	AOFB	MAOB	BOVIN	CHEMBL2756
P56658	ADA	ADA	BOVIN	CHEMBL2966
P56718	OX1R	HCRTR1	RAT	CHEMBL1075232
P56817	BACE1	BACE1	HUMAN	CHEMBL4822
P61073	CXCR4	CXCR4	HUMAN	CHEMBL2107
P61168	DRD2	DRD2	MOUSE	CHEMBL3427
P61169	DRD2	DRD2	RAT	CHEMBL339
P62942	FKB1A	FKBP1A	HUMAN	CHEMBL1902
P62993	GRB2	GRB2	HUMAN	CHEMBL3663
P63085	MK01	MAPK1	MOUSE	CHEMBL2207
P68400	CSK21	CSNK2A1	HUMAN	CHEMBL3629
P70536	OXYR	OXTR	RAT	CHEMBL3996
P78527	PRKDC	PRKDC	HUMAN	CHEMBL3142
P78536	ADA17	ADAM17	HUMAN	CHEMBL3706
P79208	PGH2	PTGS2	SHEEP	CHEMBL4102
P80209	CATD	CTSD	BOVIN	CHEMBL4106
P80299	HYES	EPHX2	RAT	CHEMBL5669
P80365	DHI2	HSD11B2	HUMAN	CHEMBL3746
P80457	XDH	XDH	BOVIN	CHEMBL3649
P81908	CHLE	BCHE	HORSE	CHEMBL5763
P97266	OPRM	OPRM1	CAVPO	CHEMBL4354
P97612	FAAH1	FAAH	RAT	CHEMBL3229
P97639	MCHR1	MCHR1	RAT	CHEMBL1075228
P98073	ENTK	TMPRSS15	HUMAN	CHEMBL1741195
P98170	XIAP	XIAP	HUMAN	CHEMBL4198
Q00534	CDK6	CDK6	HUMAN	CHEMBL2508
Q00535	CDK5	CDK5	HUMAN	CHEMBL4036
Q00788	V2R	AVPR2	RAT	CHEMBL3766
Q00960	NMDE2	GRIN2B	RAT	CHEMBL311
Q00975	CAC1B	CACNA1B	HUMAN	CHEMBL4478
Q00987	MDM2	MDM2	HUMAN	CHEMBL5023
Q01726	MSHR	MC1R	HUMAN	CHEMBL3795
Q01727	MSHR	MC1R	MOUSE	CHEMBL4077
Q01827	VMAT2	SLC18A2	RAT	CHEMBL4828
Q01959	SC6A3	SLC6A3	HUMAN	CHEMBL238
Q02156	KPCE	PRKCE	HUMAN	CHEMBL3582
Q02750	MP2K1	MAP2K1	HUMAN	CHEMBL3587
Q02763	TIE2	TEK	HUMAN	CHEMBL4128
Q02769	FDFT	FDFT1	RAT	CHEMBL3815
Q03181	PPARD	PPARD	HUMAN	CHEMBL3979
Q04759	KPCT	PRKCQ	HUMAN	CHEMBL3920
Q05397	FAK1	PTK2	HUMAN	CHEMBL2695
Q05469	LIPS	LIPE	HUMAN	CHEMBL3590
Q05655	KPCD	PRKCD	HUMAN	CHEMBL2996
Q05769	PGH2	PTGS2	MOUSE	CHEMBL4321
Q05941	ACHA7	CHRNA7	RAT	CHEMBL4980
Q06124	PTN11	PTPN11	HUMAN	CHEMBL3864
Q06187	BTK	BTK	HUMAN	CHEMBL5251
Q06418	TYRO3	TYRO3	HUMAN	CHEMBL5314
Q07343	PDE4B	PDE4B	HUMAN	CHEMBL275
Q07817	B2CL1	BCL2L1	HUMAN	CHEMBL4625
Q07820	MCL1	MCL1	HUMAN	CHEMBL4361
Q07869	PPARA	PPARA	HUMAN	CHEMBL239
Q07912	ACK1	TNK2	HUMAN	CHEMBL4599
Q08499	PDE4D	PDE4D	HUMAN	CHEMBL288
Q08881	ITK	ITK	HUMAN	CHEMBL2959
Q12809	KCNH2	KCNH2	HUMAN	CHEMBL240
Q12852	M3K12	MAP3K12	HUMAN	CHEMBL1908389
Q12866	MERTK	MERTK	HUMAN	CHEMBL5331
Q12884	SEPR	FAP	HUMAN	CHEMBL4683
Q13093	PAFA	PLA2G7	HUMAN	CHEMBL3514
Q13133	NR1H3	NR1H3	HUMAN	CHEMBL2808
Q13153	PAK1	PAK1	HUMAN	CHEMBL4600
Q13224	NMDE2	GRIN2B	HUMAN	CHEMBL1904
Q13255	GRM1	GRM1	HUMAN	CHEMBL3772
Q13258	PD2R	PTGDR	HUMAN	CHEMBL4427
Q13370	PDE3B	PDE3B	HUMAN	CHEMBL290
Q13418	ILK	ILK	HUMAN	CHEMBL5247
Q13464	ROCK1	ROCK1	HUMAN	CHEMBL3231
Q13490	BIRC2	BIRC2	HUMAN	CHEMBL5462
Q13526	PIN1	PIN1	HUMAN	CHEMBL2288
Q13535	ATR	ATR	HUMAN	CHEMBL5024
Q13547	HDAC1	HDAC1	HUMAN	CHEMBL325
Q13557	KCC2D	CAMK2D	HUMAN	CHEMBL2801
Q13627	DYR1A	DYRK1A	HUMAN	CHEMBL2292
Q13639	5HT4R	HTR4	HUMAN	CHEMBL1875
Q13882	PTK6	PTK6	HUMAN	CHEMBL4601
Q13946	PDE7A	PDE7A	HUMAN	CHEMBL3012
Q14164	IKKE	IKBKE	HUMAN	CHEMBL3529
Q14289	FAK2	PTK2B	HUMAN	CHEMBL5469
Q14416	GRM2	GRM2	HUMAN	CHEMBL5137
Q14432	PDE3A	PDE3A	HUMAN	CHEMBL241
Q14524	SCN5A	SCN5A	HUMAN	CHEMBL1980
Q14680	MELK	MELK	HUMAN	CHEMBL4578
Q14790	CASP8	CASP8	HUMAN	CHEMBL3776
Q14833	GRM4	GRM4	HUMAN	CHEMBL2736
Q15059	BRD3	BRD3	HUMAN	CHEMBL1795186
Q15139	KPCD1	PRKD1	HUMAN	CHEMBL3863
Q15661	TRYB1	TPSAB1	HUMAN	CHEMBL2617
Q15722	LT4R1	LTB4R	HUMAN	CHEMBL3911
Q15759	MK11	MAPK11	HUMAN	CHEMBL3961
Q15761	NPY5R	NPY5R	HUMAN	CHEMBL4561
Q15858	SCN9A	SCN9A	HUMAN	CHEMBL4296
Q16539	MK14	MAPK14	HUMAN	CHEMBL260
Q16581	C3AR	C3AR1	HUMAN	CHEMBL4761
Q16620	NTRK2	NTRK2	HUMAN	CHEMBL4898
Q16665	HIF1A	HIF1A	HUMAN	CHEMBL4261
Q16790	CAH9	CA9	HUMAN	CHEMBL3594
Q1A7N1	TRPM8	TRPM8	CANLF	CHEMBL1667665
Q28156	PDE5A	PDE5A	BOVIN	CHEMBL3478
Q28838	ADA2A	ADRA2A	BOVIN	CHEMBL4744
Q29010	EDNRA	EDNRA	PIG	CHEMBL4130
Q29463	TRY2	TRY2	BOVIN	CHEMBL4472
Q2NNR5	CLTR1	CYSLTR1	CAVPO	CHEMBL5645
Q3SYC2	MOGT2	MOGAT2	HUMAN	CHEMBL2439944
Q4G017	NISCH	NISCH	RAT	CHEMBL5221
Q5S007	LRRK2	LRRK2	HUMAN	CHEMBL1075104
Q62053	PE2R2	PTGER2	MOUSE	CHEMBL2488
Q62758	5HT4R	HTR4	RAT	CHEMBL4317
Q62968	SCNAA	SCN10A	RAT	CHEMBL4017
Q63380	NET	NET	RAT	CHEMBL6184
Q63470	DYR1A	DYRK1A	RAT	CHEMBL5508
Q63931	CCKAR	CCKAR	CAVPO	CHEMBL3501
Q6RI86	TRPA1	TRPA1	RAT	CHEMBL5160
Q6V1X1	DPP8	DPP8	HUMAN	CHEMBL4657
Q7TMR0	PCP	PRCP	MOUSE	CHEMBL1255149
Q7Z2W7	TRPM8	TRPM8	HUMAN	CHEMBL1075319
Q80SS6	GPBAR	GPBAR1	MOUSE	CHEMBL1255150
Q865E1	HRH3	HRH3	MACMU	CHEMBL5299
Q86TI2	DPP9	DPP9	HUMAN	CHEMBL4793
Q86V86	PIM3	PIM3	HUMAN	CHEMBL5407
Q8IXJ6	SIR2	SIRT2	HUMAN	CHEMBL4462
Q8K4Z4	ADRB2	ADRB2	CAVPO	CHEMBL5414
Q8N1Q1	CAH13	CA13	HUMAN	CHEMBL3912
Q8NER1	TRPV1	TRPV1	HUMAN	CHEMBL4794
Q8NET8	TRPV3	TRPV3	HUMAN	CHEMBL5522
Q8R455	TRPM8	TRPM8	RAT	CHEMBL5011
Q8SPQ9	PTGS2	PTGS2	CANLF	CHEMBL4033
Q8TDS4	HCAR2	HCAR2	HUMAN	CHEMBL3785
Q8TDU6	GPBAR	GPBAR1	HUMAN	CHEMBL5409
Q8TDV5	GP119	GPR119	HUMAN	CHEMBL5652
Q8VBU5	PDE4B	PDE4B	MOUSE	CHEMBL2272
Q8WUI4	HDAC7	HDAC7	HUMAN	CHEMBL2716
Q920D2	DYR	DHFR	RAT	CHEMBL2363
Q923X8	TAA7B	TAAR7B	RAT	CHEMBL2176813
Q923Y8	TAAR1	TAAR1	MOUSE	CHEMBL4908
Q923Y9	TAAR1	TAAR1	RAT	CHEMBL3833
Q92523	CPT1B	CPT1B	HUMAN	CHEMBL2216739
Q92630	DYRK2	DYRK2	HUMAN	CHEMBL4376
Q92731	ESR2	ESR2	HUMAN	CHEMBL242
Q92769	HDAC2	HDAC2	HUMAN	CHEMBL1937
Q92793	CBP	CREBBP	HUMAN	CHEMBL5747
Q92847	GHSR	GHSR	HUMAN	CHEMBL4616
Q95136	DRD1	DRD1	BOVIN	CHEMBL2967
Q95214	ACAT	ACAT	RABIT	CHEMBL6141
Q95323	CAH4	CA4	BOVIN	CHEMBL281
Q969F8	KISSR	KISS1R	HUMAN	CHEMBL5413
Q969S8	HDA10	HDAC10	HUMAN	CHEMBL5103
Q96DB2	HDA11	HDAC11	HUMAN	CHEMBL3310
Q96EB6	SIR1	SIRT1	HUMAN	CHEMBL4506
Q96GD4	AURKB	AURKB	HUMAN	CHEMBL2185
Q96KB5	TOPK	PBK	HUMAN	CHEMBL4896
Q96PY6	NEK1	NEK1	HUMAN	CHEMBL5855
Q96RI1	NR1H4	NR1H4	HUMAN	CHEMBL2047
Q99500	S1PR3	S1PR3	HUMAN	CHEMBL3892
Q99558	M3K14	MAP3K14	HUMAN	CHEMBL5888
Q99683	M3K5	MAP3K5	HUMAN	CHEMBL5285
Q99705	MCHR1	MCHR1	HUMAN	CHEMBL344
Q9BUB5	MKNK1	MKNK1	HUMAN	CHEMBL4718
Q9BY41	HDAC8	HDAC8	HUMAN	CHEMBL3192
Q9D379	HYEP	EPHX1	MOUSE	CHEMBL1075293
Q9GZN0	GPR88	GPR88	HUMAN	CHEMBL3399910
Q9GZT9	EGLN1	EGLN1	HUMAN	CHEMBL5697
Q9H228	S1PR5	S1PR5	HUMAN	CHEMBL2274
Q9H244	P2Y12	P2RY12	HUMAN	CHEMBL2001
Q9H2K2	TNKS2	TNKS2	HUMAN	CHEMBL6154
Q9H3N8	HRH4	HRH4	HUMAN	CHEMBL3759
Q9H3R0	KDM4C	KDM4C	HUMAN	CHEMBL6175
Q9H4B4	PLK3	PLK3	HUMAN	CHEMBL4897
Q9HAZ1	CLK4	CLK4	HUMAN	CHEMBL4203
Q9HBH9	MKNK2	MKNK2	HUMAN	CHEMBL4204
Q9HCR9	PDE11	PDE11A	HUMAN	CHEMBL2717
Q9JI35	HRH3	HRH3	CAVPO	CHEMBL5076
Q9JKC1	BCHE	BCHE	RAT	CHEMBL3403
Q9N1N9	BCHE	BCHE	HORSE	CHEMBL5077
Q9NR96	TLR9	TLR9	HUMAN	CHEMBL5804
Q9NTG7	SIR3	SIRT3	HUMAN	CHEMBL4461
Q9NUW8	TYDP1	TDP1	HUMAN	CHEMBL1075138
Q9NWZ3	IRAK4	IRAK4	HUMAN	CHEMBL3778
Q9P1W9	PIM2	PIM2	HUMAN	CHEMBL4523
Q9QYJ6	PDE10	PDE10A	RAT	CHEMBL6140
Q9QYN8	HRH3	HRH3	RAT	CHEMBL4124
Q9QZN9	CNR2	CNR2	RAT	CHEMBL2470
Q9UBF8	PI4KB	PI4KB	HUMAN	CHEMBL3268
Q9UBN7	HDAC6	HDAC6	HUMAN	CHEMBL1865
Q9UHD2	TBK1	TBK1	HUMAN	CHEMBL5408
Q9UHL4	DPP2	DPP7	HUMAN	CHEMBL3976
Q9UIQ6	LCAP	LNPEP	HUMAN	CHEMBL2693
Q9UKE5	TNIK	TNIK	HUMAN	CHEMBL4527
Q9UKP6	UR2R	UTS2R	HUMAN	CHEMBL3764
Q9UKV0	HDAC9	HDAC9	HUMAN	CHEMBL4145
Q9ULX7	CAH14	CA14	HUMAN	CHEMBL3510
Q9UM73	ALK	ALK	HUMAN	CHEMBL4247
Q9UNA0	ATS5	ADAMTS5	HUMAN	CHEMBL2285
Q9UNQ0	ABCG2	ABCG2	HUMAN	CHEMBL5393
Q9UQL6	HDAC5	HDAC5	HUMAN	CHEMBL2563
Q9WTR4	SLC6A1	SLC6A2	RAT	CHEMBL304
Q9Y233	PDE10	PDE10A	HUMAN	CHEMBL4409
Q9Y243	AKT3	AKT3	HUMAN	CHEMBL4816
Q9Y251	HPSE	HPSE	HUMAN	CHEMBL3921
Q9Y256	FACE2	RCE1	HUMAN	CHEMBL3411
Q9Y2D0	CAH5B	CA5B	HUMAN	CHEMBL3969
Q9Y2I1	NISCH	NISCH	HUMAN	CHEMBL3923
Q9Y2R2	PTN22	PTPN22	HUMAN	CHEMBL2889
Q9Y345	SC6A5	SLC6A5	HUMAN	CHEMBL3060
Q9Y463	DYR1B	DYRK1B	HUMAN	CHEMBL5543
Q9Y5N1	HRH3	HRH3	HUMAN	CHEMBL264
Q9Y5X9	LIPE	LIPG	HUMAN	CHEMBL5080
Q9Y5Y4	PD2R2	PTGDR2	HUMAN	CHEMBL5071
Q9Y5Y6	ST14	ST14	HUMAN	CHEMBL3018
Q9Y5Z0	BACE2	BACE2	HUMAN	CHEMBL2525
Q9Z2A7	DGAT1	DGAT1	MOUSE	CHEMBL1075284
